rownumber,respondentID,agency_code,activity_year,loan_type,action_taken_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,institution_name,agency,loan_to,action_taken,income_group,inflation_factor,amtLoans1_adjusted,amtLoans100k_adjusted,amtLoans250k_adjusted,amtLoansToSmallest_adjusted,amtLoansAff_adjusted
67414,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,14,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,MFI not known (income percentage = 0),1.0,0.0,0.0,0.0,0.0,0.0
67415,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,15,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Tract not Known (reported as NA),1.0,0.0,0.0,0.0,0.0,0.0
76333,249,1,2016,4,1,24,510,12580,1.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
76334,249,1,2016,4,1,24,510,12580,1.0,N,N,L,2,1,42000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,10% to 20% of MFI,1.0,42000.0,0.0,0.0,0.0,0.0
76335,249,1,2016,4,1,24,510,12580,1.0,N,N,L,3,0,0,1,135000,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,20% to 30% of MFI,1.0,0.0,135000.0,0.0,0.0,0.0
76336,249,1,2016,4,1,24,510,12580,1.0,N,N,L,4,11,521000,0,0,0,0,2,124000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,30% to 40% of MFI,1.0,521000.0,0.0,0.0,124000.0,0.0
76337,249,1,2016,4,1,24,510,12580,1.0,N,N,L,5,1,88000,0,0,2,1425000,1,88000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,40% to 50% of MFI,1.0,88000.0,0.0,1425000.0,88000.0,0.0
76338,249,1,2016,4,1,24,510,12580,1.0,N,N,L,6,1,27000,1,150000,1,1000000,1,150000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,50% to 60% of MFI,1.0,27000.0,150000.0,1000000.0,150000.0,0.0
76339,249,1,2016,4,1,24,510,12580,1.0,N,N,L,7,2,160000,0,0,0,0,2,160000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,60% to 70% of MFI,1.0,160000.0,0.0,0.0,160000.0,0.0
76340,249,1,2016,4,1,24,510,12580,1.0,N,N,L,8,1,42000,0,0,1,1000000,1,42000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,70% to 80% of MFI,1.0,42000.0,0.0,1000000.0,42000.0,0.0
76341,249,1,2016,4,1,24,510,12580,1.0,N,N,L,9,1,80000,3,590000,3,1680000,5,1830000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,80% to 90% of MFI,1.0,80000.0,590000.0,1680000.0,1830000.0,0.0
76342,249,1,2016,4,1,24,510,12580,1.0,N,N,L,10,0,0,1,151000,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,90% to 100% of MFI,1.0,0.0,151000.0,0.0,0.0,0.0
76343,249,1,2016,4,1,24,510,12580,1.0,N,N,L,11,0,0,0,0,1,400000,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,100% to 110% of MFI,1.0,0.0,0.0,400000.0,0.0,0.0
76344,249,1,2016,4,1,24,510,12580,1.0,N,N,L,12,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,110% to 120% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
76345,249,1,2016,4,1,24,510,12580,1.0,N,N,L,13,1,50000,1,227000,1,700000,1,227000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,> 120% of MFI,1.0,50000.0,227000.0,700000.0,227000.0,0.0
76346,249,1,2016,4,1,24,510,12580,1.0,N,N,L,14,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,MFI not known (income percentage = 0),1.0,0.0,0.0,0.0,0.0,0.0
76347,249,1,2016,4,1,24,510,12580,1.0,N,N,L,15,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,Business,Origination,Tract not Known (reported as NA),1.0,0.0,0.0,0.0,0.0,0.0
82863,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
82864,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,2,4,21000,0,0,0,0,1,5000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,10% to 20% of MFI,1.0,21000.0,0.0,0.0,5000.0,0.0
82865,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,3,13,228000,2,340000,1,500000,6,38000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,20% to 30% of MFI,1.0,228000.0,340000.0,500000.0,38000.0,0.0
82866,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,4,34,614000,4,588000,3,1160000,19,288000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,30% to 40% of MFI,1.0,614000.0,588000.0,1160000.0,288000.0,0.0
82867,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,5,84,1422000,6,1210000,5,3017000,53,853000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,40% to 50% of MFI,1.0,1422000.0,1210000.0,3017000.0,853000.0,0.0
82868,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,6,52,852000,5,1156000,11,6267000,38,2392000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,50% to 60% of MFI,1.0,852000.0,1156000.0,6267000.0,2392000.0,0.0
82869,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,7,66,1085000,5,921000,2,800000,34,706000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,60% to 70% of MFI,1.0,1085000.0,921000.0,800000.0,706000.0,0.0
82870,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,8,74,1045000,3,575000,4,1725000,50,830000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,70% to 80% of MFI,1.0,1045000.0,575000.0,1725000.0,830000.0,0.0
82871,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,9,49,1302000,7,1294000,7,3766000,32,1015000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,80% to 90% of MFI,1.0,1302000.0,1294000.0,3766000.0,1015000.0,0.0
82872,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,10,20,380000,1,200000,3,1054000,17,312000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,90% to 100% of MFI,1.0,380000.0,200000.0,1054000.0,312000.0,0.0
82873,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,11,42,1039000,4,725000,2,1500000,22,1205000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,100% to 110% of MFI,1.0,1039000.0,725000.0,1500000.0,1205000.0,0.0
82874,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,12,11,200000,2,378000,2,1500000,5,191000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,110% to 120% of MFI,1.0,200000.0,378000.0,1500000.0,191000.0,0.0
82875,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,13,82,2265000,3,546000,7,3538000,51,1510000,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,> 120% of MFI,1.0,2265000.0,546000.0,3538000.0,1510000.0,0.0
82876,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,14,0,0,0,0,0,0,0,0,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,MFI not known (income percentage = 0),1.0,0.0,0.0,0.0,0.0,0.0
82877,1316,1,2016,4,1,24,510,12580,71.0,N,N,L,15,0,0,0,0,0,0,0,0,0,0,PNC BANK N.A. (PA),OCC,Business,Origination,Tract not Known (reported as NA),1.0,0.0,0.0,0.0,0.0,0.0
98247,1461,1,2016,4,1,24,510,12580,-1.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,"CITIBANK, N.A. (NY)",OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
98248,1461,1,2016,4,1,24,510,12580,-1.0,N,N,L,2,3,9000,0,0,0,0,2,6000,0,0,"CITIBANK, N.A. (NY)",OCC,Business,Origination,10% to 20% of MFI,1.0,9000.0,0.0,0.0,6000.0,0.0
98249,1461,1,2016,4,1,24,510,12580,-1.0,N,N,L,3,13,53000,0,0,0,0,11,51000,0,0,"CITIBANK, N.A. (NY)",OCC,Business,Origination,20% to 30% of MFI,1.0,53000.0,0.0,0.0,51000.0,0.0
98250,1461,1,2016,4,1,24,510,12580,-1.0,N,N,L,4,52,216000,0,0,0,0,40,125000,0,0,"CITIBANK, N.A. (NY)",OCC,Business,Origination,30% to 40% of MFI,1.0,216000.0,0.0,0.0,125000.0,0.0
98251,1461,1,2016,4,1,24,510,12580,-1.0,N,N,L,5,120,506000,0,0,0,0,104,402000,0,0,"CITIBANK, N.A. (NY)",OCC,Business,Origination,40% to 50% of MFI,1.0,506000.0,0.0,0.0,402000.0,0.0
