rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
21392,1,1,2017,24,510,12580.0,2501.03,171.0,N,N,L,8,Y
21393,1,1,2017,24,510,12580.0,2601.02,171.0,N,N,L,8,Y
21394,1,1,2017,24,510,12580.0,2701.01,171.0,N,N,L,8,Y
21395,1,1,2017,24,510,12580.0,2705.02,171.0,N,N,L,8,Y
21396,1,1,2017,24,510,12580.0,2707.03,171.0,N,N,L,8,Y
21397,1,1,2017,24,510,12580.0,2709.01,171.0,N,N,L,8,N
21398,1,1,2017,24,510,12580.0,2709.02,171.0,N,N,L,8,N
21399,1,1,2017,24,510,12580.0,2720.04,171.0,N,N,L,8,Y
21400,1,1,2017,24,510,12580.0,2720.05,171.0,N,N,L,8,Y
21401,1,1,2017,24,510,12580.0,2804.01,171.0,N,N,L,8,N
21402,1,1,2017,24,510,12580.0,401.0,171.0,N,N,L,9,Y
21403,1,1,2017,24,510,12580.0,1101.0,171.0,N,N,L,9,Y
21404,1,1,2017,24,510,12580.0,1306.0,171.0,N,N,L,9,Y
21405,1,1,2017,24,510,12580.0,1308.05,171.0,N,N,L,9,Y
21406,1,1,2017,24,510,12580.0,1308.06,171.0,N,N,L,9,Y
21407,1,1,2017,24,510,12580.0,2701.02,171.0,N,N,L,9,Y
21408,1,1,2017,24,510,12580.0,2703.01,171.0,N,N,L,9,Y
21409,1,1,2017,24,510,12580.0,2703.02,171.0,N,N,L,9,Y
21410,1,1,2017,24,510,12580.0,2704.01,171.0,N,N,L,9,Y
21411,1,1,2017,24,510,12580.0,2704.02,171.0,N,N,L,9,Y
21412,1,1,2017,24,510,12580.0,2706.0,171.0,N,N,L,9,Y
21413,1,1,2017,24,510,12580.0,2804.03,171.0,N,N,L,9,N
21414,1,1,2017,24,510,12580.0,302.0,171.0,N,N,L,10,Y
21415,1,1,2017,24,510,12580.0,1201.0,171.0,N,N,L,10,Y
21416,1,1,2017,24,510,12580.0,1307.0,171.0,N,N,L,10,Y
21417,1,1,2017,24,510,12580.0,2609.0,171.0,N,N,L,10,Y
21418,1,1,2017,24,510,12580.0,2705.01,171.0,N,N,L,10,Y
21419,1,1,2017,24,510,12580.0,2708.04,171.0,N,N,L,10,Y
21420,1,1,2017,24,510,12580.0,2711.01,171.0,N,N,L,10,N
21421,1,1,2017,24,510,12580.0,2719.0,171.0,N,N,L,10,Y
21422,1,1,2017,24,510,12580.0,1102.0,171.0,N,N,L,11,Y
21423,1,1,2017,24,510,12580.0,1202.01,171.0,N,N,L,11,Y
21424,1,1,2017,24,510,12580.0,2404.0,171.0,N,N,L,11,Y
21425,1,1,2017,24,510,12580.0,2702.0,171.0,N,N,L,11,Y
21426,1,1,2017,24,510,12580.0,2720.03,171.0,N,N,L,11,Y
21427,1,1,2017,24,510,12580.0,102.0,171.0,N,N,L,12,Y
21428,1,1,2017,24,510,12580.0,105.0,171.0,N,N,L,12,Y
21429,1,1,2017,24,510,12580.0,201.0,171.0,N,N,L,12,Y
21430,1,1,2017,24,510,12580.0,101.0,171.0,N,N,L,13,Y
21431,1,1,2017,24,510,12580.0,103.0,171.0,N,N,L,13,N
21432,1,1,2017,24,510,12580.0,104.0,171.0,N,N,L,13,Y
21433,1,1,2017,24,510,12580.0,203.0,171.0,N,N,L,13,Y
21434,1,1,2017,24,510,12580.0,1202.02,171.0,N,N,L,13,N
21435,1,1,2017,24,510,12580.0,1401.0,171.0,N,N,L,13,Y
21436,1,1,2017,24,510,12580.0,2201.0,171.0,N,N,L,13,Y
21437,1,1,2017,24,510,12580.0,2302.0,171.0,N,N,L,13,Y
21438,1,1,2017,24,510,12580.0,2303.0,171.0,N,N,L,13,N
21439,1,1,2017,24,510,12580.0,2401.0,171.0,N,N,L,13,Y
21440,1,1,2017,24,510,12580.0,2402.0,171.0,N,N,L,13,Y
21441,1,1,2017,24,510,12580.0,2403.0,171.0,N,N,L,13,Y
21442,1,1,2017,24,510,12580.0,2611.0,171.0,N,N,L,13,Y
21443,1,1,2017,24,510,12580.0,2711.02,171.0,N,N,L,13,Y
21444,1,1,2017,24,510,12580.0,2712.0,171.0,N,N,L,13,Y
21445,1,1,2017,24,510,12580.0,2713.0,171.0,N,N,L,13,Y
21446,1,1,2017,24,510,12580.0,2714.0,171.0,N,N,L,13,Y
21447,1,1,2017,24,510,12580.0,2715.01,171.0,N,N,L,13,Y
21448,1,1,2017,24,510,12580.0,2715.03,171.0,N,N,L,13,Y
21449,1,1,2017,24,510,12580.0,402.0,171.0,N,N,L,14,Y
21450,1,1,2017,24,510,12580.0,1003.0,171.0,N,N,L,14,N
21451,1,1,2017,24,510,12580.0,1402.0,171.0,N,N,L,14,N
21452,1,1,2017,24,510,12580.0,1803.0,171.0,N,N,L,14,Y
21453,1,1,2017,24,510,12580.0,2506.0,171.0,N,N,L,14,Y
21454,1,1,2017,24,510,12580.0,9999.99,171.0,N,N,L,15,Y
103848,8,1,2017,24,510,12580.0,2604.04,,N,N,L,4,Y
103849,8,1,2017,24,510,12580.0,2606.05,,N,N,L,4,Y
103850,8,1,2017,24,510,12580.0,1301.0,,N,N,L,5,Y
103851,8,1,2017,24,510,12580.0,1502.0,,N,N,L,5,Y
103852,8,1,2017,24,510,12580.0,2504.01,,N,N,L,5,Y
103853,8,1,2017,24,510,12580.0,2502.06,,N,N,L,6,Y
103854,8,1,2017,24,510,12580.0,2710.02,,N,N,L,6,Y
103855,8,1,2017,24,510,12580.0,2717.0,,N,N,L,6,Y
103856,8,1,2017,24,510,12580.0,2801.01,,N,N,L,6,Y
103857,8,1,2017,24,510,12580.0,801.01,,N,N,L,7,Y
103858,8,1,2017,24,510,12580.0,2501.03,,N,N,L,8,Y
103859,8,1,2017,24,510,12580.0,2707.03,,N,N,L,8,Y
