rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
5057,2017,4,1,24,510,12580.0,2801.02,N,L,6,54,433000,0,0,2,1700000,28,161000
5058,2017,4,1,24,510,12580.0,2803.01,N,L,6,12,104000,1,250000,0,0,5,32000
5059,2017,4,1,24,510,12580.0,2803.02,N,L,6,14,135000,0,0,0,0,7,26000
5061,2017,4,1,24,510,12580.0,202.0,N,L,7,43,450000,1,200000,0,0,30,487000
5062,2017,4,1,24,510,12580.0,602.0,N,L,7,32,265000,0,0,0,0,18,185000
5063,2017,4,1,24,510,12580.0,801.01,N,L,7,29,245000,0,0,0,0,16,136000
5064,2017,4,1,24,510,12580.0,903.0,N,L,7,29,362000,0,0,0,0,21,225000
5065,2017,4,1,24,510,12580.0,1206.0,N,L,7,111,1424000,1,190000,3,1283000,69,1381000
5066,2017,4,1,24,510,12580.0,1207.0,N,L,7,62,1104000,5,781000,1,585000,29,1400000
5067,2017,4,1,24,510,12580.0,1308.03,N,L,7,19,75000,0,0,0,0,10,40000
5068,2017,4,1,24,510,12580.0,1308.04,N,L,7,53,969000,3,600000,2,800000,26,320000
5069,2017,4,1,24,510,12580.0,1507.02,N,L,7,9,72000,1,247000,0,0,6,19000
5070,2017,4,1,24,510,12580.0,1509.0,N,L,7,21,119000,0,0,0,0,11,92000
5071,2017,4,1,24,510,12580.0,2501.01,N,L,7,14,142000,0,0,0,0,9,123000
5072,2017,4,1,24,510,12580.0,2601.01,N,L,7,59,523000,1,104000,0,0,36,494000
5073,2017,4,1,24,510,12580.0,2605.01,N,L,7,71,704000,2,284000,0,0,37,322000
5074,2017,4,1,24,510,12580.0,2708.03,N,L,7,30,243000,0,0,1,300000,18,420000
5075,2017,4,1,24,510,12580.0,2720.06,N,L,7,95,1255000,3,600000,3,1234000,51,1472000
5076,2017,4,1,24,510,12580.0,2802.0,N,L,7,38,334000,0,0,0,0,33,208000
5078,2017,4,1,24,510,12580.0,902.0,N,L,8,29,284000,1,125000,0,0,24,380000
5079,2017,4,1,24,510,12580.0,2501.03,N,L,8,76,1222000,4,652000,4,2394000,30,810000
5080,2017,4,1,24,510,12580.0,2601.02,N,L,8,20,170000,0,0,0,0,11,133000
5081,2017,4,1,24,510,12580.0,2701.01,N,L,8,9,53000,0,0,1,349000,4,367000
5082,2017,4,1,24,510,12580.0,2705.02,N,L,8,43,512000,0,0,0,0,19,255000
5083,2017,4,1,24,510,12580.0,2707.03,N,L,8,35,406000,0,0,1,500000,26,815000
5084,2017,4,1,24,510,12580.0,2709.01,N,L,8,6,28000,0,0,0,0,4,16000
5085,2017,4,1,24,510,12580.0,2709.02,N,L,8,14,78000,0,0,0,0,12,73000
5086,2017,4,1,24,510,12580.0,2720.04,N,L,8,153,1504000,0,0,0,0,114,1143000
5087,2017,4,1,24,510,12580.0,2720.05,N,L,8,157,1891000,1,126000,1,381000,112,1787000
5088,2017,4,1,24,510,12580.0,2804.01,N,L,8,31,159000,2,364000,0,0,20,256000
5090,2017,4,1,24,510,12580.0,401.0,N,L,9,510,8662000,27,4968000,35,21441000,250,9989000
5091,2017,4,1,24,510,12580.0,1101.0,N,L,9,98,1384000,1,220000,4,2900000,56,1514000
5092,2017,4,1,24,510,12580.0,1306.0,N,L,9,115,1912000,2,400000,5,1977000,62,1718000
5093,2017,4,1,24,510,12580.0,1308.05,N,L,9,9,149000,0,0,1,500000,7,26000
5094,2017,4,1,24,510,12580.0,1308.06,N,L,9,81,921000,5,919000,2,1500000,37,366000
5095,2017,4,1,24,510,12580.0,2701.02,N,L,9,21,174000,0,0,0,0,13,85000
5096,2017,4,1,24,510,12580.0,2703.01,N,L,9,30,293000,0,0,1,349000,14,552000
5097,2017,4,1,24,510,12580.0,2703.02,N,L,9,16,116000,1,181000,1,350000,9,33000
5098,2017,4,1,24,510,12580.0,2704.01,N,L,9,48,362000,0,0,1,500000,33,212000
5099,2017,4,1,24,510,12580.0,2704.02,N,L,9,34,406000,0,0,0,0,22,296000
5100,2017,4,1,24,510,12580.0,2706.0,N,L,9,36,484000,0,0,2,1350000,25,1703000
5101,2017,4,1,24,510,12580.0,2804.03,N,L,9,23,178000,0,0,0,0,13,141000
5103,2017,4,1,24,510,12580.0,302.0,N,L,10,110,2068000,9,1579000,7,3892000,51,1192000
5104,2017,4,1,24,510,12580.0,1201.0,N,L,10,61,830000,0,0,1,750000,34,524000
5105,2017,4,1,24,510,12580.0,1307.0,N,L,10,93,1202000,3,550000,2,1221000,57,1230000
5106,2017,4,1,24,510,12580.0,2609.0,N,L,10,96,1145000,5,1175000,5,2758000,54,1609000
5107,2017,4,1,24,510,12580.0,2705.01,N,L,10,52,515000,0,0,1,300000,28,268000
5108,2017,4,1,24,510,12580.0,2708.04,N,L,10,31,505000,0,0,1,400000,24,854000
5109,2017,4,1,24,510,12580.0,2711.01,N,L,10,16,125000,0,0,0,0,7,68000
5110,2017,4,1,24,510,12580.0,2719.0,N,L,10,58,737000,1,161000,1,1000000,36,306000
5112,2017,4,1,24,510,12580.0,1102.0,N,L,11,200,3217000,6,1035000,12,7418000,113,6031000
5113,2017,4,1,24,510,12580.0,1202.01,N,L,11,36,345000,1,175000,0,0,28,302000
5114,2017,4,1,24,510,12580.0,2404.0,N,L,11,80,929000,0,0,0,0,50,663000
5115,2017,4,1,24,510,12580.0,2702.0,N,L,11,38,614000,2,301000,0,0,25,764000
5116,2017,4,1,24,510,12580.0,2720.03,N,L,11,161,1835000,2,329000,0,0,109,1394000
5118,2017,4,1,24,510,12580.0,102.0,N,L,12,42,496000,0,0,0,0,28,388000
5119,2017,4,1,24,510,12580.0,105.0,N,L,12,38,394000,0,0,1,495000,24,711000
5120,2017,4,1,24,510,12580.0,201.0,N,L,12,29,327000,0,0,0,0,14,141000
