rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
2443,2017,4,6,24.0,510.0,12580.0,2044811,2,,2,21000,0,0
2444,2017,4,6,24.0,510.0,12580.0,2239288,2,,14,281000,0,0
1291,2017,5,1,24.0,510.0,12580.0,13044,1,,2,7000,1,4000
1292,2017,5,1,24.0,510.0,12580.0,23160,1,,2,13000,1,12000
1293,2017,5,1,24.0,510.0,12580.0,25103,3,,1,200000,1,200000
1294,2017,5,1,24.0,510.0,12580.0,715685,1,,1,14000,0,0
1295,2017,5,1,24.0,510.0,12580.0,16958,3,,1,225000,1,225000
6766,2016,4,1,24.0,510.0,12580.0,31286,3,,32,11657000,22,7687000
6767,2016,4,1,24.0,510.0,12580.0,23880,1,,1,593000,1,593000
6768,2016,4,1,24.0,510.0,12580.0,27471,3,,4,157000,0,0
6769,2016,4,1,24.0,510.0,12580.0,715648,1,,2037,24486000,1304,11938000
6770,2016,4,1,24.0,510.0,12580.0,25080,1,,2,141000,0,0
6771,2016,4,1,24.0,510.0,12580.0,18408,3,,1,570000,0,0
6772,2016,4,1,24.0,510.0,12580.0,13044,1,,969,21986000,590,6193000
6773,2016,4,1,24.0,510.0,12580.0,26610,3,,2,891000,2,891000
6774,2016,4,1,24.0,510.0,12580.0,3514,3,,6,568000,0,0
6775,2016,4,1,24.0,510.0,12580.0,25028,1,,2,197000,2,197000
6776,2016,4,1,24.0,510.0,12580.0,23216,1,,352,11276000,0,0
6777,2016,4,1,24.0,510.0,12580.0,14583,1,,21,1685000,0,0
6778,2016,4,1,24.0,510.0,12580.0,716456,1,,12,623000,9,164000
6779,2016,4,1,24.0,510.0,12580.0,9846,3,,253,19785000,185,6240000
6780,2016,4,1,24.0,510.0,12580.0,11578,3,,1,157000,1,157000
6781,2016,4,1,24.0,510.0,12580.0,24828,1,,857,5607000,524,3113000
6782,2016,4,1,24.0,510.0,12580.0,13688,1,,29,3624000,8,258000
6783,2016,4,1,24.0,510.0,12580.0,23160,1,,713,7684000,0,0
6784,2016,4,1,24.0,510.0,12580.0,25079,1,,27,1432000,0,0
6785,2016,4,1,24.0,510.0,12580.0,1461,1,,597,3034000,476,1980000
6786,2016,4,1,24.0,510.0,12580.0,24571,1,,38,1593000,34,1209000
6787,2016,4,1,24.0,510.0,12580.0,57570,3,,3,46000,0,0
6788,2016,4,1,24.0,510.0,12580.0,60143,2,,1,30000,0,0
6789,2016,4,1,24.0,510.0,12580.0,30903,3,,1,178000,1,178000
6790,2016,4,1,24.0,510.0,12580.0,2354985,2,,1,553000,0,0
6791,2016,4,1,24.0,510.0,12580.0,5649,3,,3,7000,3,7000
6792,2016,4,1,24.0,510.0,12580.0,2652092,2,,8,3000000,2,275000
6793,2016,4,1,24.0,510.0,12580.0,715115,1,,3,8000,3,8000
