census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
2603.02,2016,6,22,"$349,000 ",1,"$205,000 ",1,"$805,000 ",14,"$1,170,000 ",24,"$1,359,000 "
2603.03,2016,5,24,"$377,000 ",3,"$550,000 ",2,"$1,000,000 ",7,"$130,000 ",29,"$1,927,000 "
2604.01,2016,6,18,"$151,000 ",0,$0 ,0,$0 ,7,"$70,000 ",18,"$151,000 "
2604.02,2016,6,33,"$555,000 ",1,"$120,000 ",5,"$2,904,000 ",11,"$633,000 ",39,"$3,579,000 "
2604.03,2016,5,20,"$469,000 ",1,"$110,000 ",2,"$879,000 ",10,"$962,000 ",23,"$1,458,000 "
2604.04,2016,6,116,"$1,759,000 ",13,"$2,182,000 ",15,"$8,764,000 ",46,"$2,993,000 ",144,"$12,705,000 "
2605.01,2016,6,66,"$420,000 ",5,"$873,000 ",2,"$900,000 ",38,"$244,000 ",73,"$2,193,000 "
2606.04,2016,3,4,"$3,000 ",0,$0 ,0,$0 ,1,"$1,000 ",4,"$3,000 "
2606.05,2016,6,170,"$3,021,000 ",10,"$1,815,000 ",12,"$7,412,000 ",74,"$2,189,000 ",192,"$12,248,000 "
2607,2016,5,61,"$797,000 ",3,"$518,000 ",4,"$2,168,000 ",33,"$849,000 ",68,"$3,483,000 "
2608,2016,5,49,"$565,000 ",3,"$483,000 ",2,"$639,000 ",20,"$456,000 ",54,"$1,687,000 "
2609,2016,11,71,"$838,000 ",3,"$675,000 ",8,"$4,979,000 ",39,"$2,667,000 ",82,"$6,492,000 "
2610,2016,5,22,"$216,000 ",0,$0 ,0,$0 ,10,"$27,000 ",22,"$216,000 "
2611,2016,13,35,"$477,000 ",1,"$119,000 ",0,$0 ,22,"$443,000 ",36,"$596,000 "
2701.01,2016,8,11,"$93,000 ",0,$0 ,1,"$600,000 ",6,"$660,000 ",12,"$693,000 "
2701.02,2016,8,16,"$139,000 ",0,$0 ,0,$0 ,8,"$27,000 ",16,"$139,000 "
2702,2016,9,40,"$578,000 ",0,$0 ,0,$0 ,19,"$321,000 ",40,"$578,000 "
2703.01,2016,8,23,"$251,000 ",0,$0 ,0,$0 ,13,"$120,000 ",23,"$251,000 "
2703.02,2016,8,16,"$107,000 ",1,"$200,000 ",2,"$702,000 ",12,"$611,000 ",19,"$1,009,000 "
2704.01,2016,8,52,"$275,000 ",0,$0 ,2,"$1,189,000 ",35,"$838,000 ",54,"$1,464,000 "
2704.02,2016,8,33,"$320,000 ",0,$0 ,2,"$1,050,000 ",17,"$1,249,000 ",35,"$1,370,000 "
2705.01,2016,8,62,"$537,000 ",0,$0 ,0,$0 ,38,"$391,000 ",62,"$537,000 "
2705.02,2016,10,32,"$413,000 ",0,$0 ,2,"$989,000 ",21,"$1,199,000 ",34,"$1,402,000 "
2706,2016,10,41,"$518,000 ",1,"$151,000 ",0,$0 ,26,"$289,000 ",42,"$669,000 "
2707.01,2016,4,3,"$17,000 ",0,$0 ,0,$0 ,2,"$16,000 ",3,"$17,000 "
2707.02,2016,6,13,"$68,000 ",1,"$197,000 ",1,"$555,000 ",8,"$27,000 ",15,"$820,000 "
2707.03,2016,9,34,"$310,000 ",0,$0 ,1,"$714,000 ",23,"$912,000 ",35,"$1,024,000 "
2708.01,2016,8,26,"$164,000 ",0,$0 ,0,$0 ,18,"$77,000 ",26,"$164,000 "
2708.02,2016,7,17,"$168,000 ",0,$0 ,1,"$885,000 ",13,"$958,000 ",18,"$1,053,000 "
2708.03,2016,8,31,"$288,000 ",0,$0 ,0,$0 ,14,"$94,000 ",31,"$288,000 "
2708.04,2016,9,27,"$271,000 ",0,$0 ,0,$0 ,17,"$201,000 ",27,"$271,000 "
