Name,OBJECTID,COLOR_2,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other,geodataEGI,Pop_dens,Pop_chng,HH_chng,AveHHsize
Clifton Park,46,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56029005,0.0,0.0,0.0,0.0
Coldspring,47,5,1029.0,165.0,790.0,5.0,35.0,0,4.0,30.0,17.0,413.0,616.0,52.0,57.0,22.0,27.0,51.0,109.0,149.0,300.0,262.0,201.0,124.0,49.0,12.0,6.0,65.0,28.0,630.0,608.0,321.0,287.0,22.0,11.0,3.0,8.0,0.64987672,1583.37721653,149.0,113.0,1.69243001
Coldstream Homestead Montebello,48,5,7266.0,118.0,6972.0,21.0,31.0,0,16.0,108.0,102.0,3337.0,3929.0,489.0,732.0,310.0,365.0,818.0,911.0,842.0,1917.0,882.0,1714.0,486.0,151.0,211.0,63.0,1017.0,432.0,3140.0,2428.0,1257.0,1171.0,712.0,208.0,60.0,444.0,0.51473833,14115.9099058,-1471.0,-327.0,2.96169996
Concerned Citizens Of Forest Park,49,3,1153.0,12.0,1126.0,1.0,2.0,0,1.0,11.0,12.0,523.0,630.0,58.0,97.0,48.0,65.0,138.0,122.0,118.0,341.0,166.0,288.0,98.0,33.0,30.0,13.0,160.0,59.0,546.0,432.0,238.0,194.0,114.0,44.0,20.0,50.0,0.07988739,14432.8142023,-177.0,-39.0,2.63193988
Coppin Heights/Ash-Co-East,50,4,2660.0,13.0,2592.0,7.0,10.0,3,7.0,28.0,20.0,1210.0,1450.0,189.0,273.0,119.0,131.0,295.0,316.0,292.0,719.0,326.0,604.0,164.0,43.0,79.0,21.0,361.0,159.0,1269.0,891.0,457.0,434.0,378.0,78.0,28.0,272.0,0.1919624,13856.8801631,-444.0,-202.0,2.97979998
Cross Country,51,4,5157.0,4039.0,822.0,2.0,175.0,0,50.0,69.0,111.0,2340.0,2817.0,483.0,614.0,242.0,251.0,461.0,674.0,481.0,1015.0,936.0,1143.0,921.0,457.0,58.0,26.0,164.0,85.0,2130.0,1989.0,1037.0,952.0,141.0,64.0,32.0,45.0,0.59240599,8705.17868903,492.0,19.0,2.51154994
Cross Keys,52,1,856.0,725.0,85.0,0.0,25.0,1,5.0,15.0,15.0,344.0,512.0,9.0,18.0,4.0,1.0,17.0,89.0,60.0,272.0,386.0,169.0,143.0,18.0,3.0,1.0,23.0,5.0,729.0,625.0,497.0,128.0,104.0,18.0,20.0,66.0,0.2782102,3076.81019608,-3.0,-15.0,1.36960005
Curtis Bay,53,1,4063.0,2512.0,1086.0,30.0,104.0,0,88.0,243.0,227.0,2028.0,2035.0,386.0,395.0,113.0,122.0,430.0,706.0,528.0,1051.0,332.0,943.0,456.0,170.0,144.0,67.0,343.0,189.0,1904.0,1528.0,618.0,910.0,376.0,232.0,48.0,96.0,0.51111181,7949.33687397,81.0,-35.0,2.65902996
Curtis Bay Industrial Area,54,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41878134,0.0,0.0,0.0,0.0
Cylburn,55,4,2357.0,43.0,2245.0,18.0,5.0,0,12.0,34.0,26.0,1065.0,1292.0,154.0,208.0,99.0,84.0,211.0,284.0,247.0,671.0,399.0,591.0,213.0,55.0,62.0,20.0,316.0,138.0,1047.0,950.0,523.0,427.0,97.0,35.0,9.0,53.0,0.22094155,10667.9796573,-229.0,7.0,2.48105001
Darley Park,56,4,1218.0,7.0,1189.0,1.0,6.0,0,0.0,15.0,7.0,585.0,633.0,94.0,128.0,57.0,61.0,138.0,144.0,145.0,312.0,139.0,278.0,76.0,24.0,34.0,15.0,168.0,66.0,525.0,378.0,181.0,197.0,147.0,42.0,10.0,95.0,0.05196522,23438.749595,-334.0,-87.0,3.22221994
Dickeyville,57,4,156.0,143.0,9.0,0.0,0.0,0,1.0,3.0,6.0,73.0,83.0,12.0,5.0,0.0,1.0,3.0,15.0,19.0,67.0,34.0,33.0,28.0,9.0,1.0,0.0,4.0,1.0,88.0,84.0,81.0,3.0,4.0,0.0,0.0,4.0,0.21312911,731.95066533,-143.0,-7.0,1.85713994
Dolfield,58,2,2156.0,48.0,2065.0,12.0,10.0,0,4.0,17.0,17.0,931.0,1225.0,147.0,175.0,75.0,90.0,191.0,251.0,251.0,610.0,366.0,517.0,168.0,46.0,45.0,20.0,304.0,132.0,935.0,792.0,396.0,396.0,143.0,41.0,9.0,93.0,0.17005855,12677.9864541,-87.0,-55.0,2.61364006
Dorchester,59,4,1700.0,17.0,1659.0,3.0,6.0,0,3.0,12.0,17.0,797.0,903.0,128.0,146.0,87.0,87.0,172.0,211.0,181.0,479.0,209.0,396.0,131.0,52.0,57.0,22.0,208.0,88.0,760.0,598.0,301.0,297.0,162.0,30.0,7.0,125.0,0.19057692,8920.28262498,-118.0,-71.0,2.82106995
Downtown,60,2,4448.0,2161.0,1126.0,12.0,927.0,6,65.0,151.0,234.0,2259.0,2189.0,98.0,40.0,21.0,17.0,1017.0,1999.0,512.0,634.0,110.0,417.0,310.0,75.0,37.0,14.0,70.0,31.0,3228.0,2600.0,137.0,2463.0,628.0,349.0,133.0,146.0,0.40735121,10919.324132,2592.0,1550.0,1.48385
Druid Heights,61,2,1497.0,19.0,1454.0,5.0,4.0,0,2.0,13.0,11.0,732.0,765.0,105.0,129.0,68.0,72.0,165.0,193.0,162.0,432.0,171.0,292.0,64.0,22.0,46.0,16.0,182.0,90.0,1074.0,591.0,173.0,418.0,483.0,55.0,22.0,406.0,0.09051564,16538.5774252,-402.0,-184.0,2.50931
Druid Hill Park,62,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97471749,0.0,0.0,0.0,0.0
Dunbar-Broadway,63,3,889.0,47.0,734.0,1.0,91.0,0,1.0,15.0,8.0,343.0,546.0,75.0,102.0,24.0,28.0,154.0,166.0,74.0,197.0,69.0,170.0,25.0,11.0,9.0,3.0,136.0,80.0,385.0,367.0,1.0,366.0,18.0,14.0,0.0,4.0,0.17156584,5181.68389101,-289.0,-211.0,1.98909997
Dundalk Marine Terminal,64,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42808836,0.0,0.0,0.0,0.0
East Arlington,65,4,2432.0,18.0,2368.0,0.0,8.0,2,8.0,28.0,27.0,1036.0,1396.0,160.0,231.0,96.0,95.0,248.0,342.0,289.0,640.0,331.0,635.0,196.0,69.0,82.0,30.0,357.0,167.0,1067.0,1000.0,481.0,519.0,67.0,41.0,11.0,15.0,0.12934849,18801.9198561,-27.0,-37.0,2.43199992
East Baltimore Midway,66,2,3034.0,40.0,2924.0,13.0,20.0,0,0.0,37.0,13.0,1407.0,1627.0,227.0,291.0,122.0,120.0,337.0,364.0,365.0,824.0,384.0,708.0,195.0,57.0,83.0,25.0,430.0,164.0,1556.0,1019.0,511.0,508.0,537.0,142.0,43.0,352.0,0.29982052,10119.3872211,-1105.0,-303.0,2.9774301
Easterwood,67,3,1596.0,31.0,1539.0,6.0,3.0,0,1.0,16.0,26.0,727.0,869.0,114.0,160.0,73.0,85.0,182.0,204.0,177.0,412.0,189.0,353.0,93.0,27.0,41.0,16.0,219.0,108.0,775.0,561.0,291.0,270.0,214.0,39.0,5.0,170.0,0.07724201,20662.3289462,-139.0,-93.0,2.84491991
Eastwood,68,5,577.0,486.0,25.0,1.0,10.0,1,29.0,25.0,74.0,281.0,296.0,34.0,40.0,14.0,16.0,58.0,101.0,81.0,144.0,89.0,137.0,84.0,31.0,19.0,7.0,34.0,13.0,270.0,253.0,188.0,65.0,17.0,4.0,6.0,7.0,0.02804998,20570.4229888,36.0,0.0,2.28063011
Edmondson Village,69,3,3940.0,30.0,3832.0,6.0,2.0,0,4.0,66.0,32.0,1712.0,2228.0,272.0,298.0,185.0,179.0,464.0,475.0,404.0,1043.0,620.0,1044.0,334.0,89.0,100.0,33.0,610.0,274.0,1666.0,1493.0,943.0,550.0,173.0,64.0,19.0,90.0,0.18583065,21202.0994404,-524.0,-89.0,2.63697004
Ednor Gardens-Lakeside,70,2,5185.0,802.0,4153.0,10.0,93.0,0,25.0,102.0,70.0,2284.0,2901.0,290.0,363.0,159.0,167.0,375.0,699.0,683.0,1464.0,985.0,1244.0,646.0,188.0,95.0,39.0,503.0,181.0,2410.0,2261.0,1604.0,657.0,149.0,72.0,29.0,48.0,0.51069282,10152.8741069,117.0,333.0,2.27775001
